id,Coordenadas,Latitude,Longitude,
3130,"18.263706, -67.175762",18.2637060000,-67.175762000,
2881,"18.095692,-67.175545",18.0956920000,-67.175545000,
786,"18.263374, -67.175476",18.2633740000,-67.175476000,
1191,"18.3809214, -67.1753186",18.3809214000,-67.175318600,
2571,"18.118316,-67.174675",18.1183160000,-67.174675000,
3550,"18.094831, -67.174193",18.0948310000,-67.174193000,
4922,"18.3716417, -67.1736898",18.3716417000,-67.173689800,
6185,"18.2452056 , -67.1730163",18.2452056000,-67.173016300,
7431,"18.17387678, -67.17264560",18.1738767800,-67.172645600,
12581,"18.386222, -67.172493",18.3862220000,-67.172493000,
8053,"18.2952298, -67.1719320",18.2952298000,-67.171932000,
15933,"18.097097,-67.171692",18.0970970000,-67.171692000,
6345,"18.242660, -67.171660",18.2426600000,-67.171660000,
17295,"18.175500, -67.171600",18.1755000000,-67.171600000,
4238,"18.324220, -67.171482",18.3242200000,-67.171482000,
12355,"18.234608, -67.171411",18.2346080000,-67.171411000,
12299,"18.121055, -67.171367",18.1210550000,-67.171367000,
1893,"18.097460,-67.170959",18.0974600000,-67.170959000,
11214,"18.097279, -67.170876",18.0972790000,-67.170876000,
6665,"18.2387119, -67.1708319",18.2387119000,-67.170831900,
691,"18.373721, -67.170567",18.3737210000,-67.170567000,
2680,"18.093945, -67.170338",18.0939450000,-67.170338000,
2688,"17.9889802 ,-67.1703280",17.9889802000,-67.170328000,
3930,"18.35844, -67.17024",18.3584400000,-67.170240000,
12221,"18.098201,-67.170189",18.0982010000,-67.170189000,
12245,"18.025425, -67.170029",18.0254250000,-67.170029000,
418,"18.39428, -67.16993",18.3942800000,-67.169930000,
273,"18.39084,-67.16992",18.3908400000,-67.169920000,
9091,"18.36106, -67.16933",18.3610600000,-67.169330000,
16853,"18.392342, -67.169297",18.3923420000,-67.169297000,
1175,"18.09975755, -67.16918173",18.0997575500,-67.169181730,
647,"18.323755,-67.169170",18.3237550000,-67.169170000,
630,"18.401179,-67.169137",18.4011790000,-67.169137000,
12589,"18.226408, -67.167488",18.2264080000,-67.167488000,
3302,"18.229278, -67.167474",18.2292780000,-67.167474000,
1045,"18.23062693, -67.16725069",18.2306269300,-67.167250690,
19230,"18.10466164, -67.16715033",18.1046616400,-67.167150330,
2862,"18.2284, -67.16707",18.2284000000,-67.167070000,
33,"18.365906, -67.166954",18.3659060000,-67.166954000,
18425,"18.095688, -67.166841",18.0956880000,-67.166841000,
18353,"18.08000173,-67.16679372",18.0800017300,-67.166793720,
344,"18.370931, -67.166632",18.3709310000,-67.166632000,
607,"18.0955121, -67.1665126",18.0955121000,-67.166512600,
12807,"18.22889, -67.16634",18.2288900000,-67.166340000,
18929,"18.031685, -67.166235",18.0316850000,-67.166235000,
3300,"18.034214 , -67.166211",18.0342140000,-67.166211000,
