X,Y,ID,Site_name,Site_type,Municipality,TotalBeneficiaries_Patients,Funders_Implementers,Funders_Combined,IsPrimary,Number_Funders,PVSizekW,Savings_year,CO2_eq_avoided_metric_tonnes_ye,Battery_size_kWh,PV_Size_AVG,Savings_AVG,CO2avoided_AVG,Batterysize_AVG,loads_backed_up,Installer,CompletionDate,Status,Latitude,Longitude,Accurate_building_town,Address,SiteDescription,Last_update,ObjectId
-65.994,18.121,475,Esc. Nueva Elemental Espino (Padre Jorge Rosario del Valle),School,San Lorenzo,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.121,-65.994,Building,,,2020/02/14 00:00:00+00,424
-66.05,18.29193847,476,Esc. Francisco Valdés,School,Caguas,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.29193847,-66.05,Building,,,2020/02/14 00:00:00+00,425
-65.918,18.22686112,477,Esc. Alfonso Díaz Lebrón,School,Juncos,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.22686112,-65.918,Building,,,2020/02/14 00:00:00+00,426
-67.026,18.471,478,Esc. Heriberto Domenech,School,Isabela,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.471,-67.026,Building,,,2020/02/14 00:00:00+00,427
-67.098,18.486,479,Esc. Sup. Juan Suárez Pelegrina,School,Aguadilla,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.486,-67.098,Building,,,2020/02/14 00:00:00+00,428
-65.69,18.219,480,Esc. S.U. Silverio García,School,Naguabo,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.219,-65.69,Building,,,2020/02/14 00:00:00+00,429
-67.012,18.0382466,481,Esc Rosendo Matienzo,School,Lajas,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.0382466,-67.012,Building,,,2020/02/14 00:00:00+00,430
-65.915,18.31669812,482,Esc. S.U. Jesús T. Piñero                    ,School,Carolina,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.31669812,-65.915,Building,,,2020/02/14 00:00:00+00,431
-66.193,18.27836787,483,Esc. SU Antonio Rivera Rivera,School,Bayamon,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.27836787,-66.193,Building,,,2020/02/14 00:00:00+00,432
-66.776,18.40739617,484,Esc. Anibal Reyes,School,Hatillo,,American Red Cross,American Red Cross,1,1,74,29170.8,89.11,,74,29170.8,89.1070704,0,,,,In Process,18.40739617,-66.776,Building,,,2020/02/14 00:00:00+00,433
-66.011,18.369,485,Esc. Vocacional Petra Zenon,School,Trujillo Alto,,American Red Cross,American Red Cross,1,1,74,29170.8,89.11,,74,29170.8,89.1070704,0,,,,In Process,18.369,-66.011,Building,,,2020/02/14 00:00:00+00,434
-65.8941,18.1459,486,Esc. José de Diego,School,Las Piedras,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.1459,-65.8941,Building,,,2020/02/14 00:00:00+00,435
-67.156,18.37,487,Esc. Eladio Tirado López,School,Aguada,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.37,-67.156,Building,,,2020/02/14 00:00:00+00,436
-66.978,18.334,488,Esc. Patria Latorre,School,San Sebastian,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.334,-66.978,Building,,,2020/02/14 00:00:00+00,437
-66.3746,18.0761,489,Esc. José Felipe Zayas .,School,Coamo,,American Red Cross,American Red Cross,1,1,74,29170.8,89.11,,74,29170.8,89.1070704,0,,,,In Process,18.0761,-66.3746,Building,,,2020/02/14 00:00:00+00,438
-66.607,17.9806,490,Esc. Angela Cordero Bernard,School,Ponce,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,17.9806,-66.607,Building,,,2020/02/14 00:00:00+00,439
-66.9361,18.1493,491,Esc. Indiera Fria,School,Maricao,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.1493,-66.9361,Building,,,2020/02/14 00:00:00+00,440
-66.402,18.434,453,Esc. Agapito Rosario Rosario,School,Vega Baja,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,Complete,18.434,-66.402,Building,,,2020/02/14 00:00:00+00,441
-66.958,18.079,492,Esc. Jose R. Gastambide,School,Sabana Grande,,American Red Cross,American Red Cross,1,1,42,16556.4,50.57,,42,16556.4,50.5742832,0,,,,In Process,18.079,-66.958,Building,,,2020/02/14 00:00:00+00,442
-66.7209,18.248,493,Esc. Inocencio Montero,School,Utuado,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.248,-66.7209,Building,,,2020/02/14 00:00:00+00,443
-66.6438,18.1574,494,Esc. San Patricio,School,Jayuya,,American Red Cross,American Red Cross,1,1,47,18527.4,56.6,,47,18527.4,56.5950312,0,,,,In Process,18.1574,-66.6438,Building,,,2020/02/14 00:00:00+00,444
-66.1461,18.3135,495,Esc. Herminia Rivera Fernandez,School,Bayamon,,American Red Cross,American Red Cross,1,1,55,21681,66.23,,55,21681,66.228228,0,,,,In Process,18.3135,-66.1461,Building,,,2020/02/14 00:00:00+00,445
-65.7369,18.2083,496,Esc. Juan J. Maunez,School,Naguabo,,American Red Cross,American Red Cross,1,1,45,17739,54.19,,45,17739,54.186732,0,,,,In Process,18.2083,-65.7369,Building,,,2020/02/14 00:00:00+00,446
-66.10144,18.252657,497,Esc. Pedro Albizu Campos,School,Aguas Buenas,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.252657,-66.10144,Building,,,2020/02/14 00:00:00+00,447
-66.698906,18.408424,498,Esc. Enrique de Jesus Borras,School,Arecibo,,American Red Cross,American Red Cross,1,1,50,19710,60.21,,50,19710,60.20748,0,,,,In Process,18.408424,-66.698906,Building,,,2020/02/14 00:00:00+00,448
-65.852364,18.123121,117,PAM Mariana School,Community Center,Humacao,,BoxPower,"ARECMA, BoxPower, Mutual Aid Disaster Relief, Footprint",0,4,16,6307.2,19.27,80,4,1576.8,4.8165984,20,,BoxPower,,Complete,18.123121,-65.852364,Town,,,,449
-65.852364,18.123121,118,PAM Mariana School,Community Center,Humacao,,Mutual Aid Disaster Relief,"ARECMA, BoxPower, Mutual Aid Disaster Relief, Footprint",0,4,16,6307.2,19.27,80,4,1576.8,4.8165984,20,,BoxPower,,Complete,18.123121,-65.852364,Town,,,,450
-65.852364,18.123121,119,PAM Mariana School,Community Center,Humacao,,Footprint,"ARECMA, BoxPower, Mutual Aid Disaster Relief, Footprint",0,4,16,6307.2,19.27,80,4,1576.8,4.8165984,20,,BoxPower,,Complete,18.123121,-65.852364,Town,,,,451
-67.1541,18.4274,120,Teen Challenge PR,School,Aguadilla,,Pura Energía,"Pura Energía, sonnen",1,2,3.12,1229.9,3.76,8,1.56,614.952,1.878473376,4,,Pura Energía,11/7/17,Complete,18.4274,-67.1541,Town,,,,452
-67.1541,18.4274,121,Teen Challenge PR,School,Aguadilla,,sonnen,"Pura Energía, sonnen",0,2,3.12,1229.9,3.76,8,1.56,614.952,1.878473376,4,,Pura Energía,11/7/17,Complete,18.4274,-67.1541,Town,,,,453
-67.074686,18.45734,122,Help Me! Center School,School,Aguadilla,,Por Los Nuestros,"Por Los Nuestros, Pura Energía, sonnen",1,3,3.12,1229.9,3.76,16,1.04,409.968,1.252315584,5.333333333,,Pura Energía,11/7/17,Complete,18.45734,-67.074686,Building,"Aguadilla 00603, Puerto Rico","Center for Children with disabilities, diesel generators were harmful to the children and the solar array powers refrigerators and other services",,454
-67.074686,18.45734,123,Help Me! Center School,School,Aguadilla,,Pura Energía,"Por Los Nuestros, Pura Energía, sonnen",0,3,3.12,1229.9,3.76,16,1.04,409.968,1.252315584,5.333333333,,Pura Energía,11/7/17,Complete,18.45734,-67.074686,Building,"Aguadilla 00603, Puerto Rico","Center for Children with disabilities, diesel generators were harmful to the children and the solar array powers refrigerators and other services",,455
-67.074686,18.45734,124,Help Me! Center School,School,Aguadilla,,sonnen,"Por Los Nuestros, Pura Energía, sonnen",0,3,3.12,1229.9,3.76,16,1.04,409.968,1.252315584,5.333333333,,Pura Energía,11/7/17,Complete,18.45734,-67.074686,Building,"Aguadilla 00603, Puerto Rico","Center for Children with disabilities, diesel generators were harmful to the children and the solar array powers refrigerators and other services",,456
-66.3912,18.2269,125,Lavandería - Por Los Nuestros,School,Orocovis,,Pura Energía,"Pura Energía, sonnen",1,2,15,5913,18.06,22,7.5,2956.5,9.031122,11,,Pura Energía,1/1/18,Complete,18.2269,-66.3912,Town,,,,457
-66.3912,18.2269,126,Lavandería - Por Los Nuestros,School,Orocovis,,sonnen,"Pura Energía, sonnen",0,2,15,5913,18.06,22,7.5,2956.5,9.031122,11,,Pura Energía,1/1/18,Complete,18.2269,-66.3912,Town,,,,458
-66.055962,18.437578,237,HealthProMed Foundation,Clinic,San Juan,,Fundación Comunitaria,Fundación Comunitaria,1,1,5,1971,6.02,20,5,1971,6.020748,20,Vaccine refrigerators,,,In Process,18.437578,-66.055962,Building,"Avenida Borinquen, San Juan, PR 00915",,2019/03/18 00:00:00+00,459
-66.83311,18.180956,22,Hospital General Castañer,Clinic,Castañer,,Direct Relief,"Direct Relief, Solar Saves Lives group",1,2,230.34,90800.03,277.36,475,115.17,45400.014,138.6819094,237.5,,AZ Engineering / EP Energy,,In Process,18.180956,-66.83311,Building,"Carr. 135 KM 4.5, Castañer, Lares 00631, Puerto Rico",,2020/02/14 00:00:00+00,460
-66.850198,18.188827,129,S.U. Manuel Rojas Luzardo - (PAM),Community Center,Lares - Bartolo,,Pura Energía,"Purea Energía, sonnen, PAM Bartolo",1,3,9.36,3689.71,11.27,22,3.12,1229.904,3.756946752,7.333333333,,Pura Energía,3/10/18,Complete,18.188827,-66.850198,Building,,,,461
-66.850198,18.188827,130,S.U. Manuel Rojas Luzardo - (PAM),Community Center,Lares - Bartolo,,sonnen,"Purea Energía, sonnen, PAM Bartolo",0,3,9.36,3689.71,11.27,22,3.12,1229.904,3.756946752,7.333333333,,Pura Energía,3/10/18,Complete,18.188827,-66.850198,Building,,,,462
